(u'B00TJJY558', u'https://www.amazon.com/dp/B00TJJY558', u'BLOCKED')
(u'B00DY7XUBO', u'https://www.amazon.com/dp/B00DY7XUBO', u'BLOCKED')
(u'B00NLJH35G', u'https://www.amazon.com/dp/B00NLJH35G', u'BLOCKED')
(u'B00HSP0DA9', u'https://www.amazon.com/dp/B00HSP0DA9', u'BLOCKED')
(u'B00Y86NUB2', u'https://www.amazon.com/dp/B00Y86NUB2', u'BLOCKED')
(u'B00P6UROD1', u'https://www.amazon.com/dp/B00P6UROD1', u'BLOCKED')
(u'B00VZDQC28', u'https://www.amazon.com/dp/B00VZDQC28', u'BLOCKED')
(u'B00PVIWMEC', u'https://www.amazon.com/dp/B00PVIWMEC', u'BLOCKED')
(u'B00SSEKIVG', u'https://www.amazon.com/dp/B00SSEKIVG', u'BLOCKED')
(u'B00QZFQVDE', u'https://www.amazon.com/dp/B00QZFQVDE', u'BLOCKED')
(u'B00MJFUPG6', u'https://www.amazon.com/dp/B00MJFUPG6', u'BLOCKED')
(u'B00XHEGAUP', u'https://www.amazon.com/dp/B00XHEGAUP', u'BLOCKED')
(u'B00TLSGU82', u'https://www.amazon.com/dp/B00TLSGU82', u'BLOCKED')
(u'B008JUVYXG', u'https://www.amazon.com/dp/B008JUVYXG', u'BLOCKED')
(u'B00GKLQLZD', u'https://www.amazon.com/dp/B00GKLQLZD', u'BLOCKED')
(u'B00SYGAZR6', u'https://www.amazon.com/dp/B00SYGAZR6', u'BLOCKED')
(u'B00VALN1TQ', u'https://www.amazon.com/dp/B00VALN1TQ', u'BLOCKED')
(u'B00EVYV08H', u'https://www.amazon.com/dp/B00EVYV08H', u'BLOCKED')
(u'B0075AZBQW', u'https://www.amazon.com/dp/B0075AZBQW', u'BLOCKED')
(u'B00YC8SGIU', u'https://www.amazon.com/dp/B00YC8SGIU', u'BLOCKED')
(u'B00ZOEJ5F4', u'https://www.amazon.com/dp/B00ZOEJ5F4', u'BLOCKED')
(u'B00ZDTLUXI', u'https://www.amazon.com/dp/B00ZDTLUXI', u'BLOCKED')
(u'B00CLLIGI1', u'https://www.amazon.com/dp/B00CLLIGI1', u'BLOCKED')
(u'B0032PLQCH', u'https://www.amazon.com/dp/B0032PLQCH', u'BLOCKED')
(u'B00EOKOA21', u'https://www.amazon.com/dp/B00EOKOA21', u'BLOCKED')
(u'B00GXRWBIQ', u'https://www.amazon.com/dp/B00GXRWBIQ', u'BLOCKED')
(u'B007VJAR5L', u'https://www.amazon.com/dp/B007VJAR5L', u'BLOCKED')
(u'B0072OIUKK', u'https://www.amazon.com/dp/B0072OIUKK', u'BLOCKED')
(u'B0090KWKV8', u'https://www.amazon.com/dp/B0090KWKV8', u'BLOCKED')
(u'B001ERXUEP', u'https://www.amazon.com/dp/B001ERXUEP', u'BLOCKED')
(u'B002SIMYG2', u'https://www.amazon.com/dp/B002SIMYG2', u'BLOCKED')
(u'B00MAMRWZ3', u'https://www.amazon.com/dp/B00MAMRWZ3', u'BLOCKED')
(u'B008UGTPII', u'https://www.amazon.com/dp/B008UGTPII', u'BLOCKED')
(u'B00ZAESSF1', u'https://www.amazon.com/dp/B00ZAESSF1', u'BLOCKED')
(u'B006YLLDSA', u'https://www.amazon.com/dp/B006YLLDSA', u'BLOCKED')
(u'B00INVOBA0', u'https://www.amazon.com/dp/B00INVOBA0', u'BLOCKED')
(u'B003RCUVVR', u'https://www.amazon.com/dp/B003RCUVVR', u'BLOCKED')
(u'B00UCSWRAE', u'https://www.amazon.com/dp/B00UCSWRAE', u'BLOCKED')
(u'B00TFNEFMI', u'https://www.amazon.com/dp/B00TFNEFMI', u'BLOCKED')
(u'B0088OSACC', u'https://www.amazon.com/dp/B0088OSACC', u'BLOCKED')
(u'B00UN4PIEX', u'https://www.amazon.com/dp/B00UN4PIEX', u'BLOCKED')
(u'B00XOUTJ3E', u'https://www.amazon.com/dp/B00XOUTJ3E', u'BLOCKED')
(u'B00BLZSLLC', u'https://www.amazon.com/dp/B00BLZSLLC', u'BLOCKED')
(u'B00STXX6E3', u'https://www.amazon.com/dp/B00STXX6E3', u'BLOCKED')
(u'B00GEYCTT0', u'https://www.amazon.com/dp/B00GEYCTT0', u'BLOCKED')
(u'B006LVOUEM', u'https://www.amazon.com/dp/B006LVOUEM', u'BLOCKED')
(u'B00XNHGRKB', u'https://www.amazon.com/dp/B00XNHGRKB', u'BLOCKED')
(u'B00MRRKJSR', u'https://www.amazon.com/dp/B00MRRKJSR', u'BLOCKED')
(u'B00IOBAEYR', u'https://www.amazon.com/dp/B00IOBAEYR', u'BLOCKED')
(u'B00KIGXUEK', u'https://www.amazon.com/dp/B00KIGXUEK', u'BLOCKED')
(u'B00AESBFOD', u'https://www.amazon.com/dp/B00AESBFOD', u'BLOCKED')
(u'B002YBQLVS', u'https://www.amazon.com/dp/B002YBQLVS', u'BLOCKED')
(u'B007Y3JJIX', u'https://www.amazon.com/dp/B007Y3JJIX', u'BLOCKED')
(u'B00ZYOWSBN', u'https://www.amazon.com/dp/B00ZYOWSBN', u'BLOCKED')
(u'B00XZGHDBN', u'https://www.amazon.com/dp/B00XZGHDBN', u'BLOCKED')
(u'B00P91MNMO', u'https://www.amazon.com/dp/B00P91MNMO', u'BLOCKED')
(u'B00866IXXA', u'https://www.amazon.com/dp/B00866IXXA', u'BLOCKED')
(u'B009UIXXVD', u'https://www.amazon.com/dp/B009UIXXVD', u'BLOCKED')
(u'B0001TLCJJ', u'https://www.amazon.com/dp/B0001TLCJJ', u'BLOCKED')
(u'B003GSOME2', u'https://www.amazon.com/dp/B003GSOME2', u'BLOCKED')
(u'B00DCZGJIF', u'https://www.amazon.com/dp/B00DCZGJIF', u'BLOCKED')
(u'B00CXKYPRE', u'https://www.amazon.com/dp/B00CXKYPRE', u'BLOCKED')
(u'B00HGOC0H3', u'https://www.amazon.com/dp/B00HGOC0H3', u'BLOCKED')
(u'B00PMCZ4OW', u'https://www.amazon.com/dp/B00PMCZ4OW', u'BLOCKED')
(u'B000EDUA4K', u'https://www.amazon.com/dp/B000EDUA4K', u'BLOCKED')
(u'B00WAKCRTL', u'https://www.amazon.com/dp/B00WAKCRTL', u'BLOCKED')
(u'B00MR7XUXF', u'https://www.amazon.com/dp/B00MR7XUXF', u'BLOCKED')
(u'B0049SEJML', u'https://www.amazon.com/dp/B0049SEJML', u'BLOCKED')
(u'B00WOIUMZM', u'https://www.amazon.com/dp/B00WOIUMZM', u'BLOCKED')
(u'B00VFOWJLD', u'https://www.amazon.com/dp/B00VFOWJLD', u'BLOCKED')
(u'B00CECSES2', u'https://www.amazon.com/dp/B00CECSES2', u'BLOCKED')
(u'B005IUNR5L', u'https://www.amazon.com/dp/B005IUNR5L', u'BLOCKED')
(u'B00XOEBBAS', u'https://www.amazon.com/dp/B00XOEBBAS', u'BLOCKED')
(u'B00IGSF3IG', u'https://www.amazon.com/dp/B00IGSF3IG', u'BLOCKED')
(u'B00F8YHOIS', u'https://www.amazon.com/dp/B00F8YHOIS', u'BLOCKED')
(u'B00EONSDWF', u'https://www.amazon.com/dp/B00EONSDWF', u'BLOCKED')

